Word,Level
응원,2
응원하다,2
의,2
의사,2
이번,2
이사,2
이상하다,2
이웃,2
인물,2
일,2
일,2
일기,2
일기,2
읽기,2
잃어버리다,2
잊다,2
자,2
자,2
자기,2
자라다,2
자랑,2
자랑하다,2
자세,2
자신,2
자음,2
잘,2
잘못,2
잘하다,2
장면,2
재채기,2
적다,2
점,2
정답,2
정말,2
정하다,2
제목,2
제목,2
조금씩,2
조심하다,2
조용하다,2
졸음,2
좁다,2
주고받다,2
주룩주룩,2
주말,2
주위,2
주인,2
주인공,2
죽,2
죽다,2
준비,2
준비,2
준비물,2
줄넘기,2
줄다,2
줄이다,2
중요하다,2
즐거움,2
즐겁다,2
지나가다,2
지붕,2
지키다,2
진짜,2
질문,2
집다,2
짜증,2
쨍쨍,2
쪽,2
쪽수,2
쪽지,2
쫓아가다,2
찡그리다,2
찢다,2
차례,2
참다,2
창피하다,2
찾아보다,2
채소,2
책꽂이,2
처음,2
첫,2
쳐다보다,2
초,2
초대하다,2
추위,2
축구,2
축구공,2
출발,2
치료하다,2
친절하다,2
친척,2
카드,2
커다랗다,2
커튼,2
컴퓨터,2
콩닥콩닥,2
쿵쾅쿵쾅,2
큰아버지,2
튼튼하다,2
틀리다,2
팔다,2
편지,2
편하다,2
표,2
표정,2
표현,2
푸르다,2
풀다,2
풍덩,2
필요하다,2
하루하루,2
학교생활,2
학기,2
학년,2
학생,2
학원,2
한국,2
함께,2
함께,2
함께하다,2
햇살,2
행동,2
행복,2
행복하다,2
향기,2
허락,2
헤엄치다,2
헬리콥터,2
현관,2
혼자,2
화가,2
화해하다,2
확인,2
활동,2
활용,2
활짝,2
회사,2
훨훨,2
휴대 전화,2
흉내,2
흉내,2
힘,2
힘들다,2
가격,3
가난하다,3
가죽,3
간단하다,3
갇히다,3
감동,3
감옥,3
갑자기,3
강가,3
강하다,3
개구리,3
거,3
거리,3
거칠다,3
걸,3
겁먹다,3
게,3
게시판,3
결국,3
경험,3
경험,3
계속되다,3
계획,3
고개,3
고깃배,3
고민,3
고민하다,3
골대,3
공격,3
공기,3
공장,3
공항,3
과목,3
과학,3
과학자,3
관심,3
관찰하다,3
광고,3
구경하다,3
구석,3
구하다,3
국기,3
굶다,3
궁금증,3
규칙적,3
그때,3
그래서,3
그러니까,3
그리워하다,3
그립다,3
그만두다,3
글쓴이,3
급하다,3
기회,3
긴장하다,3
김장,3
까닭,3
까닭,3
깔끔하다,3
꼼꼼히,3
꾸준히,3
나들이,3
나머지,3
나빠지다,3
나오다,3
나타나다,3
낚시,3
네,3
노려보다,3
노력하다,3
노인,3
눈짓,3
늘,3
늘다,3
늘어나다,3
다른,3
다짐,3
다투다,3
다행,3
달라지다,3
달래다,3
달아나다,3
담,3
담그다,3
답,3
당당하다,3
당연하다,3
대한,3
대화,3
대화,3
대화하다,3
대회,3
도구,3
독서,3
돌다리,3
동굴,3
동시,3
두꺼비,3
